Header:
00000000: 6C 6F 6F 70 65 72 00 FF  02 00 56 00 88 02 01 03  looper....V.....
00000010: 60 04 61 04 62 04 63 04  64 04 65 04 66 04 67 04  `.a.b.c.d.e.f.g.
None

Base Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Overdub Section
Count:  427
Unique values:  427
Highest value:  0x7a7

Total
Unique values:  427

Base               : Overdub
0.89953271 0x05E1 -> 0x000005E1
0.90186916 0x05E2 -> 0x000005E2
0.90420561 0x05E3 -> 0x000005E3
0.90654206 0x05E4 -> 0x000005E4
0.90887850 0x05E5 -> 0x000005E5
0.91121495 0x05E6 -> 0x000005E6
0.91355140 0x05E7 -> 0x000005E7
0.91588785 0x05E8 -> 0x000005E8
0.91822430 0x05E9 -> 0x000005E9
0.92056075 0x05EA -> 0x000005EA
0.92289720 0x05EB -> 0x000005EB
0.92523364 0x05EC -> 0x000005EC
0.92757009 0x05ED -> 0x000005ED
0.92990654 0x05EE -> 0x000005EE
0.93224299 0x05EF -> 0x000005EF
0.93457944 0x05F0 -> 0x000005F0
0.93691589 0x05F1 -> 0x000005F1
0.93925234 0x05F2 -> 0x000005F2
0.94158879 0x078F -> 0x0000078F
0.94392523 0x0791 -> 0x00000791
0.94626168 0x0792 -> 0x00000792
0.94859813 0x0793 -> 0x00000793
0.95093458 0x0794 -> 0x00000794
0.95327103 0x0795 -> 0x00000795
0.95560748 0x0796 -> 0x00000796
0.95794393 0x0797 -> 0x00000797
0.96028037 0x0798 -> 0x00000798
0.96261682 0x0799 -> 0x00000799
0.96495327 0x079A -> 0x0000079A
0.96728972 0x079B -> 0x0000079B
0.96962617 0x079C -> 0x0000079C
0.97196262 0x079D -> 0x0000079D
0.97429907 0x079E -> 0x0000079E
0.97663551 0x079F -> 0x0000079F
0.97897196 0x07A0 -> 0x000007A0
0.98130841 0x07A1 -> 0x000007A1
0.98364486 0x07A2 -> 0x000007A2
0.98598131 0x07A3 -> 0x000007A3
0.98831776 0x07A4 -> 0x000007A4
0.99065421 0x07A5 -> 0x000007A5
0.99299065 0x07A6 -> 0x000007A6
0.99532710 0x07A7 -> 0x000007A7
