Fractional time	Rough Address	'Time’ in memory		LTC Time
0.036727879799666	1BD47AEA	1619.587521	1619.626563	00:00:22:08
0.036727879799666	1BD4A6E7	1619.626583	1619.665625	00:00:22:09
0.036727879799666	1BD4D2E4	1619.665646	1619.704688	00:00:22:10
0.036727879799666	1BD4FEE1	1619.704708	1619.74375	00:00:22:11
0.036727879799666	1BD52ADF	1619.743771	1619.782792	00:00:22:12
0.036727879799666	1BD556D6	1619.782813	1619.821854	00:00:22:13
0.036727879799666	1BD582D3	1619.821875	1619.860917	00:00:22:14
0.036727879799666	1BD5AED1	1619.860938	1619.899979	00:00:22:15
0.036727879799666	1BD5DACE	1619.9	1619.939042	00:00:22:16
0.036727879799666	1BD606CB	1619.939063	1619.978104	00:00:22:17
0.036727879799666	1BD632C9	1619.978125	1620.017167	00:00:22:18
0.036727879799666	1BD65EC6	1620.017188	1620.056229	00:00:22:19
0.036727879799666	1BD68AC3	1620.05625	1620.095292	00:00:22:20
0.036727879799666	1BD6B6C1	1620.095313	1620.134354	00:00:22:21
0.036727879799666	1BD6E2BE	1620.134375	1620.173417	00:00:22:22
0.036727879799666	1BD70EBB	1620.173438	1620.212479	00:00:22:23
0.036727879799666	1BD73AB8	1620.2125	1620.251542	00:00:22:24
0.038397328881469	1BD766B6	1620.251563	1620.290604	00:00:23:00
0.038397328881469	1BD792B3	1620.290625	1620.329667	00:00:23:01
0.038397328881469	1BD7BEB0	1620.329688	1620.368729	00:00:23:02
0.038397328881469	1BD7EAAE	1620.36875	1620.407792	00:00:23:03
0.038397328881469	1BD816AB	1620.407813	1620.446854	00:00:23:04
0.038397328881469	1BD842A8	1620.446875	1620.485958	00:00:23:05
0.038397328881469	1BD86EB1	1620.485979	1620.525021	00:00:23:06
0.038397328881469	1BD89AAF	1620.525042	1620.564083	00:00:23:07
0.038397328881469	1BD8C6AC	1620.564104	1620.603146	00:00:23:08
0.038397328881469	1BD8F2AA	1620.603167	1620.642208	00:00:23:09
0.038397328881469	1BD91EA7	1620.642229	1620.681271	00:00:23:10
0.038397328881469	1BD94AA4	1620.681292	1620.720333	00:00:23:11
0.038397328881469	1BD976A1	1620.720354	1620.759396	00:00:23:12
0.038397328881469	1BD9A29F	1620.759417	1620.798458	00:00:23:13
0.038397328881469	1BD9CE9C	1620.798479	1620.837521	00:00:23:14
0.038397328881469	1BD9FA99	1620.837542	1620.876583	00:00:23:15
0.038397328881469	1BDA2697	1620.876604	1620.915646	00:00:23:16
0.038397328881469	1BDA5294	1620.915667	1620.954708	00:00:23:17
0.038397328881469	1BDA7E91	1620.954729	1620.993771	00:00:23:18
0.038397328881469	1BDAAA8F	1620.993792	1621.032833	00:00:23:19
0.038397328881469	1BDAD68C	1621.032854	1621.071896	00:00:23:20
0.038397328881469	1BDB0289	1621.071917	1621.110958	00:00:23:21
0.038397328881469	1BDB2E86	1621.110979	1621.150021	00:00:23:22
0.038397328881469	1BDB5A84	1621.150042	1621.189083	00:00:23:23
0.038397328881469	1BDB8681	1621.189104	1621.228146	00:00:23:24
0.040066777963272	1BDBB27E	1621.228167	1621.267208	00:00:24:00
0.040066777963272	1BDBDE7C	1621.267229	1621.306271	00:00:24:01
0.040066777963272	1BDC0A79	1621.306292	1621.345313	00:00:24:02
0.040066777963272	1BDC3670	1621.345333	1621.384375	00:00:24:03
0.040066777963272	1BDC626E	1621.384396	1621.423438	00:00:24:04
0.040066777963272	1BDC8E6B	1621.423458	1621.4625	00:00:24:05
0.040066777963272	1BDCBA68	1621.462521	1621.501563	00:00:24:06
0.040066777963272	1BDCE665	1621.501583	1621.540625	00:00:24:07
0.040066777963272	1BDD1263	1621.540646	1621.579688	00:00:24:08
0.040066777963272	1BDD3E60	1621.579708	1621.61875	00:00:24:09
0.040066777963272	1BDD6A5D	1621.618771	1621.657813	00:00:24:10
0.040066777963272	1BDD965B	1621.657833	1621.696875	00:00:24:11
0.040066777963272	1BDDC258	1621.696896	1621.735938	00:00:24:12
0.040066777963272	1BDDEE55	1621.735958	1621.775	00:00:24:13
0.040066777963272	1BDE1A53	1621.775021	1621.814063	00:00:24:14
0.040066777963272	1BDE4650	1621.814083	1621.853125	00:00:24:15
0.040066777963272	1BDE724D	1621.853146	1621.892188	00:00:24:16
0.040066777963272	1BDE9E4A	1621.892208	1621.93125	00:00:24:17
0.040066777963272	1BDECA48	1621.931271	1621.970313	00:00:24:18
0.040066777963272	1BDEF645	1621.970333	1622.009375	00:00:24:19
0.040066777963272	1BDF2242	1622.009396	1622.048438	00:00:24:20
0.040066777963272	1BDF4E40	1622.048458	1622.087542	00:00:24:21
0.040066777963272	1BDF7A49	1622.087563	1622.126604	00:00:24:22
0.040066777963272	1BDFA646	1622.126625	1622.165667	00:00:24:23
0.040066777963272	1BDFD244	1622.165688	1622.204729	00:00:24:24
0.041736227045075	1BDFFE41	1622.20475	1622.243792	00:00:25:00
0.041736227045075	1BE02A3E	1622.243813	1622.282854	00:00:25:01
0.041736227045075	1BE0563C	1622.282875	1622.321917	00:00:25:02
0.041736227045075	1BE08239	1622.321938	1622.360979	00:00:25:03
0.041736227045075	1BE0AE36	1622.361	1622.400042	00:00:25:04
0.041736227045075	1BE0DA34	1622.400063	1622.439104	00:00:25:05
0.041736227045075	1BE10631	1622.439125	1622.478167	00:00:25:06
0.041736227045075	1BE1322E	1622.478188	1622.517229	00:00:25:07
0.041736227045075	1BE15E2B	1622.51725	1622.556292	00:00:25:08
0.041736227045075	1BE18A29	1622.556313	1622.595354	00:00:25:09
0.041736227045075	1BE1B626	1622.595375	1622.634417	00:00:25:10
0.041736227045075	1BE1E223	1622.634438	1622.673479	00:00:25:11
0.041736227045075	1BE20E21	1622.6735	1622.712542	00:00:25:12
0.041736227045075	1BE23A1E	1622.712563	1622.751604	00:00:25:13
0.041736227045075	1BE2661B	1622.751625	1622.790667	00:00:25:14
0.041736227045075	1BE29219	1622.790688	1622.829729	00:00:25:15
0.041736227045075	1BE2BE16	1622.82975	1622.868792	00:00:25:16
0.041736227045075	1BE2EA13	1622.868813	1622.907854	00:00:25:17
0.041736227045075	1BE31610	1622.907875	1622.946896	00:00:25:18
0.041736227045075	1BE34208	1622.946917	1622.985958	00:00:25:19
0.041736227045075	1BE36E05	1622.985979	1623.025021	00:00:25:20
0.041736227045075	1BE39A02	1623.025042	1623.064083	00:00:25:21
0.041736227045075	1BE3C600	1623.064104	1623.103146	00:00:25:22
0.041736227045075	1BE3F1FD	1623.103167	1623.142208	00:00:25:23
0.041736227045075	1BE41DFA	1623.142229	1623.181271	00:00:25:24
0.043405676126878	1BE449F8	1623.181292	1623.220333	00:00:26:00
0.043405676126878	1BE475F5	1623.220354	1623.259396	00:00:26:01
0.043405676126878	1BE4A1F2	1623.259417	1623.298458	00:00:26:02
0.043405676126878	1BE4CDEF	1623.298479	1623.337521	00:00:26:03
0.043405676126878	1BE4F9ED	1623.337542	1623.376583	00:00:26:04
0.043405676126878	1BE525EA	1623.376604	1623.415646	00:00:26:05
0.043405676126878	1BE551E7	1623.415667	1623.454708	00:00:26:06
0.043405676126878	1BE57DE5	1623.454729	1623.493771	00:00:26:07
0.043405676126878	1BE5A9E2	1623.493792	1623.532833	00:00:26:08
0.043405676126878	1BE5D5DF	1623.532854	1623.571896	00:00:26:09
0.043405676126878	1BE601DD	1623.571917	1623.610958	00:00:26:10
0.043405676126878	1BE62DDA	1623.610979	1623.650063	00:00:26:11
0.043405676126878	1BE659E3	1623.650083	1623.689125	00:00:26:12
